"DATA SOURCE: US Census Bureau QuickFacts, https://www.census.gov/quickfacts/fact/table/US/PST045218",,,,,,,,,
City,State,2018 Population,Population Change (2010-2018 est) - weighted 40%,In Civilian Labor Force - weighted 10%,Median Household Income - weighted 10%,Persons Without Health Insurance - weighted 15%,Median Commute Time - weighted 15%,Percent in Poverty - weighted 10%,WEIGHTED Z-SCORE
Springfield,Massachusetts,"155,032",1.20%,58.40%,"$37,118.00",5.10%,21.3,28.70%,-0.376527393
New Bedford,Massachusetts,"95,315",0.30%,62.30%,"$40,626.00",6.00%,24.8,23.10%,-0.3763113
Scranton,Pennsylvania,"77,182",1.40%,55.90%,"$38,683.00",8.40%,19.3,23.60%,-0.374485294
Yakima,Washington,"93,884",2.90%,61.70%,"$42,092.00",18.80%,17,20.40%,-0.373914361
Gresham,Oregon,"110,158",4.30%,65.30%,"$50,675.00",12.20%,29.3,20.00%,-0.372709699
El Centro,California,"44,120",3.60%,56.10%,"$43,581.00",12.70%,18.4,24.90%,-0.369942755
Fayetteville,North Carolina,"209,468",4.40%,51.80%,"$43,439.00",13.20%,18.7,19.30%,-0.36620095
Covina,California,"47,963",0.40%,65.30%,"$68,311.00",10.00%,33.7,9.10%,-0.365899129
Lancaster,Ohio,"40,414",4.30%,58.10%,"$40,235.00",8.60%,26,19.60%,-0.356388088
Springfield,Missouri,"168,122",5.40%,61.50%,"$34,775.00",17.00%,17.7,25.70%,-0.353769929
Perris,California,"79,133",15.40%,63.70%,"$54,657.00",18.00%,37.4,21.20%,-0.346864668
Fall River,Massachusetts,"89,661",0.90%,59.50%,"$39,328.00",5.90%,23.9,20.20%,-0.345731492
Pueblo,Colorado,"111,750",4.90%,54.80%,"$36,280.00",11.30%,18.8,24.40%,-0.345017883
Salinas,California,"156,259",3.70%,63.60%,"$54,864.00",17.40%,23.2,17.20%,-0.343819625
Clovis,New Mexico,"38,680",2.30%,58.60%,"$40,576.00",15.50%,14.2,24.20%,-0.342610893
Hollywood,Florida,"154,823",10.00%,64.90%,"$50,019.00",21.80%,28.5,15.20%,-0.338514112
Urbana,Illinois,"42,046",0.90%,57.30%,"$34,273.00",6.30%,15.6,31.90%,-0.338411812
Ogden,Utah,"87,325",5.40%,64.10%,"$43,361.00",18.90%,20.3,21.40%,-0.336940581
Bloomington,Indiana,"84,981",5.80%,57.60%,"$33,172.00",10.00%,16.1,37.50%,-0.33242525
Highland,California,"55,406",4.30%,62.50%,"$55,130.00",13.00%,25.9,20.10%,-0.332089931
Sierra Vista,Arizona,"44,420",-1.90%,50.20%,"$58,839.00",7.50%,17.9,14.20%,-0.328708656
Hurst,Texas,"38,992",4.40%,68.30%,"$58,871.00",22.70%,25.1,10.70%,-0.328599578
Carson City,Nevada,"55,414",0.30%,59.40%,"$49,341.00",14.10%,18.5,14.70%,-0.326607268
Gainesville,Florida,"133,857",7.70%,56.50%,"$34,004.00",12.10%,17.7,33.60%,-0.325655325
New Britain,Connecticut,"72,453",-1.00%,61.90%,"$43,611.00",7.80%,19.7,22.70%,-0.325120417
Palm Springs,California,"48,375",8.60%,51.50%,"$48,126.00",16.60%,20.7,18.50%,-0.32490336
Pawtucket,Rhode Island,"71,847",1.00%,68.40%,"$44,909.00",11.70%,24.3,20.00%,-0.324648914
Peoria,Illinois,"111,388",-3.20%,61.80%,"$47,697.00",8.30%,17.5,20.90%,-0.323193376
Hickory,North Carolina,"40,925",2.30%,63.30%,"$44,366.00",15.60%,19.8,17.80%,-0.31953404
Pensacola,Florida,"52,713",1.40%,61.60%,"$46,569.00",13.60%,19.9,17.50%,-0.319226788
Burlington,North Carolina,"53,748",5.70%,63.10%,"$39,344.00",17.90%,20.1,20.50%,-0.318917331
Blacksburg,Virginia,"44,678",5.10%,52.20%,"$39,910.00",5.40%,13.9,43.70%,-0.317718098
Holyoke,Massachusetts,"40,358",1.20%,57.20%,"$37,954.00",3.60%,19.8,28.60%,-0.313986597
Melbourne,Florida,"82,826",8.60%,55.10%,"$43,159.00",17.40%,21.7,16.70%,-0.311964799
Hutchinson,Kansas,"40,623",-3.70%,61.30%,"$45,514.00",10.10%,15.8,16.70%,-0.310686862
St. Joseph,Missouri,"75,959",-1.10%,62.40%,"$45,762.00",12.90%,16.4,18.80%,-0.307744094
New Rochelle,New York,"78,742",2.10%,65.30%,"$77,320.00",12.20%,32.1,11.20%,-0.302385802
Evanston,Illinois,"74,106",-0.50%,61.70%,"$74,901.00",6.00%,30.8,13.30%,-0.302087216
Albany,New York,"97,279",-0.60%,62.30%,"$43,790.00",8.00%,18.6,24.50%,-0.300786906
Anaheim,California,"352,005",4.60%,67.20%,"$65,313.00",16.30%,28.5,16.00%,-0.300131884
Bethlehem,Pennsylvania,"75,790",1.10%,60.60%,"$51,880.00",9.60%,23.6,15.80%,-0.297617199
Topeka,Kansas,"125,904",-1.40%,62.90%,"$46,087.00",12.80%,17,16.70%,-0.296932529
Mishawaka,Indiana,"49,931",3.40%,65.80%,"$39,821.00",15.60%,20.8,18.80%,-0.295711382
Sanford,Florida,"60,035",11.40%,63.40%,"$42,025.00",18.60%,27.1,20.70%,-0.295304685
Knoxville,Tennessee,"187,500",5.20%,63.20%,"$36,331.00",13.30%,19.7,26.50%,-0.293298154
Parma,Ohio,"78,751",-3.50%,65.60%,"$52,611.00",7.90%,24.9,9.30%,-0.293088775
Tamarac,Florida,"66,054",9.60%,60.70%,"$45,474.00",16.90%,29.4,11.10%,-0.2928704
Palm Bay,Florida,"114,194",9.80%,57.10%,"$45,811.00",17.00%,25.1,15.60%,-0.288075681
La Mirada,California,"48,683",0.30%,58.70%,"$87,400.00",8.60%,31.8,7.30%,-0.287307696
Dothan,Alabama,"68,247",3.80%,58.40%,"$43,316.00",12.90%,19.1,19.70%,-0.286241262
Bradenton,Florida,"57,644",17.00%,53.10%,"$42,902.00",23.80%,24.6,17.20%,-0.282016353
Fresno,California,"530,093",6.60%,61.50%,"$44,853.00",12.40%,21.6,28.40%,-0.281585877
Joliet,Illinois,"148,099",0.50%,69.60%,"$63,359.00",10.60%,30.6,12.00%,-0.281423957
Carson,California,"91,909",0.20%,63.50%,"$75,517.00",12.20%,27.4,10.60%,-0.280233014
Fullerton,California,"139,640",3.30%,65.30%,"$71,660.00",12.60%,29.8,14.90%,-0.277807017
Oakland Park,Florida,"45,339",9.80%,71.40%,"$48,390.00",25.10%,25.2,18.10%,-0.277241882
Kenosha,Wisconsin,"100,164",0.80%,66.10%,"$50,256.00",9.80%,23.9,19.00%,-0.275499965
Bremerton,Washington,"41,235",8.90%,53.00%,"$48,757.00",10.70%,26.2,18.10%,-0.274564059
Pinellas Park,Florida,"53,098",7.60%,58.00%,"$42,106.00",17.00%,21.6,15.20%,-0.274247417
Glendale,California,"201,361",5.00%,62.20%,"$58,657.00",12.10%,27.9,15.60%,-0.270816432
Kalamazoo,Michigan,"76,545",3.10%,65.10%,"$37,438.00",10.20%,18.2,31.00%,-0.269698284
Enid,Oklahoma,"49,585",0.40%,61.40%,"$48,853.00",16.60%,15.3,14.40%,-0.268056273
Fort Lauderdale,Florida,"182,595",10.20%,65.60%,"$52,315.00",20.40%,26.4,19.30%,-0.267643355
Jefferson City,Missouri,"42,838",-0.70%,58.20%,"$48,132.00",11.80%,15.7,15.60%,-0.267626919
Oxnard,California,"209,877",6.00%,68.10%,"$64,837.00",20.60%,25.7,15.60%,-0.267196483
Winston-Salem,North Carolina,"246,328",7.30%,61.10%,"$42,219.00",15.50%,20.6,23.30%,-0.265872483
Diamond Bar,California,"56,275",1.30%,60.90%,"$94,531.00",8.30%,35.8,6.20%,-0.265720144
Columbia,South Carolina,"133,451",2.30%,57.00%,"$43,650.00",11.70%,15.2,22.30%,-0.261874622
Abilene,Texas,"122,999",4.70%,57.50%,"$46,093.00",17.50%,15.7,17.70%,-0.259995013
Waco,Texas,"138,183",10.70%,59.70%,"$36,004.00",19.50%,17.7,26.80%,-0.259808103
Tyler,Texas,"105,729",9.10%,61.30%,"$46,463.00",20.60%,20.1,20.20%,-0.257038193
Margate,Florida,"58,656",10.40%,66.00%,"$43,782.00",20.70%,28.2,11.70%,-0.255189858
Aurora,Illinois,"199,602",0.90%,71.80%,"$66,848.00",13.50%,28.8,13.10%,-0.254435053
Modesto,California,"215,030",5.90%,59.90%,"$54,024.00",10.20%,27.3,17.00%,-0.249295461
Lakewood,Ohio,"50,100",-3.90%,74.00%,"$48,701.00",9.30%,23.5,14.60%,-0.247769882
Oceanside,California,"176,080",5.20%,60.60%,"$61,778.00",11.90%,28.2,12.90%,-0.246503535
Santa Maria,California,"107,408",7.80%,65.80%,"$55,485.00",22.80%,20.8,18.60%,-0.244822162
Joplin,Missouri,"50,657",-0.30%,65.20%,"$41,063.00",13.10%,16.3,17.90%,-0.244095982
Redding,California,"91,772",2.10%,55.90%,"$46,389.00",10.40%,16.8,18.90%,-0.243237095
Malden,Massachusetts,"61,036",2.70%,68.50%,"$62,361.00",5.50%,34.4,15.90%,-0.239256512
Santa Fe,New Mexico,"84,612",4.60%,62.20%,"$53,922.00",18.70%,19.1,15.10%,-0.23867871
Burbank,California,"103,695",0.30%,67.40%,"$69,118.00",11.40%,27.8,11.30%,-0.238440952
Lafayette,Louisiana,"126,143",3.70%,65.70%,"$48,533.00",14.80%,21.1,19.10%,-0.238388671
Lancaster,Texas,"39,477",7.70%,71.40%,"$51,628.00",16.00%,30.6,17.10%,-0.237307337
La Habra,California,"62,183",3.20%,67.50%,"$72,178.00",13.00%,30.3,12.50%,-0.236888273
Upland,California,"77,000",4.50%,63.90%,"$65,349.00",9.80%,31.1,14.00%,-0.23683034
Cutler Bay,Florida,"44,867",11.40%,68.40%,"$70,473.00",14.70%,41.6,10.00%,-0.236384117
Arlington,Texas,"398,112",9.00%,69.00%,"$55,562.00",20.90%,27.2,16.10%,-0.235878759
North Little Rock,Arkansas,"66,127",6.00%,61.70%,"$41,278.00",13.00%,19.3,25.30%,-0.23413173
Glendale,Arizona,"250,702",10.90%,62.00%,"$49,383.00",15.50%,27.6,20.30%,-0.233347411
Coachella,California,"45,839",12.60%,70.20%,"$34,300.00",23.20%,21.6,28.00%,-0.233042914
Albuquerque,New Mexico,"560,218",2.60%,63.80%,"$49,878.00",12.10%,21.2,18.20%,-0.227540974
Elgin,Illinois,"111,683",3.30%,69.80%,"$63,655.00",14.40%,28.4,13.20%,-0.227246139
Gastonia,North Carolina,"77,024",7.40%,63.30%,"$43,985.00",14.50%,23.8,19.10%,-0.225357336
Las Cruces,New Mexico,"102,926",5.30%,59.90%,"$40,924.00",12.00%,18.1,24.40%,-0.223799834
Hilton Head Island,South Carolina,"39,639",6.90%,53.20%,"$72,569.00",21.10%,18.7,10.90%,-0.221134001
Clifton,New Jersey,"85,273",1.40%,66.40%,"$74,963.00",13.30%,28,9.50%,-0.220559684
Riverside,California,"330,063",8.60%,63.50%,"$62,460.00",13.70%,30.4,16.60%,-0.217642948
Mount Prospect,Illinois,"54,198",-1.50%,68.20%,"$71,925.00",11.00%,28.4,5.60%,-0.215937502
Cleveland,Tennessee,"44,974",9.00%,60.30%,"$41,570.00",18.00%,18.6,22.00%,-0.215200264
Fontana,California,"213,739",8.80%,66.40%,"$68,304.00",15.20%,33,14.30%,-0.214505472
Yucaipa,California,"53,682",4.50%,60.10%,"$58,166.00",7.20%,28.9,14.50%,-0.214344418
Tinley Park,Illinois,"56,204",-1.10%,67.90%,"$76,061.00",6.60%,32.6,7.90%,-0.213030357
Fitchburg,Massachusetts,"40,882",1.40%,64.70%,"$51,412.00",5.00%,26.8,17.90%,-0.211726301
Great Falls,Montana,"58,701",-0.70%,60.40%,"$44,725.00",13.00%,13.7,14.50%,-0.211097458
St. Clair Shores,Michigan,"59,409",-0.60%,62.70%,"$56,674.00",6.40%,26.5,8.50%,-0.210326289
Southfield,Michigan,"73,158",2.00%,61.70%,"$52,470.00",8.80%,24.4,13.00%,-0.210234362
Florissant,Missouri,"51,272",-2.00%,68.40%,"$52,532.00",8.50%,25.1,9.00%,-0.208245357
Indianapolis,Indiana,"867,125",5.70%,67.10%,"$44,709.00",14.10%,23.1,20.10%,-0.204829836
Wichita,Kansas,"389,255",1.80%,66.10%,"$48,982.00",15.00%,18.2,16.90%,-0.202464417
Springfield,Illinois,"114,694",-2.00%,62.90%,"$51,789.00",6.90%,17.6,20.30%,-0.201851237
Danbury,Connecticut,"84,730",4.70%,71.20%,"$68,068.00",19.20%,27.1,11.60%,-0.201768622
Lansing,Michigan,"118,427",3.70%,66.90%,"$38,642.00",10.50%,19.3,27.10%,-0.201692655
Moline,Illinois,"41,902",-3.70%,65.10%,"$52,173.00",9.90%,17.5,12.10%,-0.201557554
Newark,Ohio,"50,029",5.20%,62.30%,"$40,129.00",10.50%,21.7,20.50%,-0.2000935
Brockton,Massachusetts,"95,777",2.10%,68.20%,"$52,393.00",4.30%,30.9,16.80%,-0.199385877
Norwich,Connecticut,"39,136",-3.40%,67.70%,"$53,682.00",5.90%,22.5,14.60%,-0.199225223
Johnson City,Tennessee,"66,778",5.40%,60.60%,"$39,143.00",12.40%,18,22.30%,-0.19871978
Stillwater,Oklahoma,"50,391",10.30%,57.30%,"$29,450.00",12.60%,15.3,34.30%,-0.194939078
Azusa,California,"49,958",7.30%,64.00%,"$57,728.00",12.70%,28.2,16.40%,-0.192800331
Sherman,Texas,"42,462",10.70%,63.10%,"$44,884.00",21.50%,20.6,18.60%,-0.191818031
West Palm Beach,Florida,"111,398",10.70%,64.50%,"$49,054.00",20.80%,22.7,18.90%,-0.190555707
Linden,New Jersey,"42,538",5.00%,67.90%,"$66,538.00",15.30%,29.1,10.30%,-0.189825668
Palatine,Illinois,"68,053",-0.70%,72.80%,"$76,633.00",12.10%,29.1,10.10%,-0.189059548
Worcester,Massachusetts,"185,877",2.70%,61.10%,"$45,869.00",3.70%,24,21.80%,-0.18894885
Streamwood,Illinois,"39,570",-0.70%,72.20%,"$80,152.00",11.60%,31.8,5.70%,-0.188451306
Pasadena,California,"141,371",3.10%,66.40%,"$76,264.00",11.80%,28.1,15.50%,-0.188429891
Corpus Christi,Texas,"326,554",7.00%,63.40%,"$53,626.00",20.30%,19.2,16.20%,-0.188083934
Midwest City,Oklahoma,"57,325",5.40%,61.30%,"$46,431.00",14.60%,20.2,15.60%,-0.187762476
Altamonte Springs,Florida,"44,241",6.30%,68.60%,"$50,207.00",17.90%,24.7,13.00%,-0.186700876
Chattanooga,Tennessee,"180,557",6.00%,60.90%,"$41,911.00",13.30%,18.8,20.70%,-0.183912001
West Allis,Wisconsin,"59,492",-1.50%,68.90%,"$47,669.00",8.60%,22.2,13.40%,-0.18261115
Des Plaines,Illinois,"58,959",1.00%,66.00%,"$67,415.00",9.50%,28.4,8.90%,-0.181928604
Revere,Massachusetts,"53,821",4.00%,68.30%,"$53,794.00",6.40%,32.9,13.00%,-0.181708465
Sterling Heights,Michigan,"132,964",2.50%,61.80%,"$62,344.00",9.60%,25.4,12.00%,-0.180593968
Ormond Beach,Florida,"43,475",10.10%,50.90%,"$51,152.00",16.90%,21.5,9.00%,-0.180427312
Las Vegas,Nevada,"644,644",10.30%,63.20%,"$53,159.00",18.10%,25.4,16.20%,-0.17801899
Warner Robins,Georgia,"75,797",9.70%,62.90%,"$48,307.00",18.60%,20.4,21.90%,-0.177110429
Victoria,Texas,"67,015",7.00%,65.30%,"$52,255.00",21.50%,18.1,17.20%,-0.176312856
Norwalk,Connecticut,"89,047",4.00%,72.90%,"$81,546.00",22.00%,26.8,9.20%,-0.173765552
Wausau,Wisconsin,"38,580",-1.50%,63.90%,"$40,260.00",8.10%,15.9,17.70%,-0.173055669
Lynn,Massachusetts,"94,654",4.80%,68.10%,"$53,513.00",6.10%,31.4,18.20%,-0.17231413
Prescott,Arizona,"43,314",8.90%,42.90%,"$50,812.00",10.80%,18,13.90%,-0.17122735
Federal Way,Washington,"97,044",8.70%,67.00%,"$62,086.00",12.90%,33.6,12.30%,-0.168879443
West Valley City,Utah,"136,401",5.30%,72.40%,"$59,954.00",22.30%,22,13.80%,-0.167805116
St. Petersburg,Florida,"265,098",8.10%,62.80%,"$50,622.00",15.80%,23.6,15.90%,-0.167693035
Cerritos,California,"50,462",2.90%,57.60%,"$98,953.00",8.30%,33.5,5.00%,-0.167301344
Ceres,California,"48,769",6.30%,63.00%,"$51,113.00",8.90%,28.3,15.20%,-0.167093917
Palm Coast,Florida,"87,607",16.50%,49.10%,"$51,208.00",18.00%,25.7,13.40%,-0.165121599
Cape Girardeau,Missouri,"39,853",4.90%,60.10%,"$42,078.00",11.70%,15.8,24.60%,-0.164505894
Little Rock,Arkansas,"197,881",2.30%,64.90%,"$48,463.00",12.50%,18.6,17.80%,-0.163807923
Lawrence,Indiana,"49,046",6.60%,71.80%,"$50,107.00",15.40%,27.4,15.80%,-0.163173506
Everett,Washington,"111,262",7.90%,65.00%,"$54,562.00",11.90%,28.8,16.30%,-0.162180227
Citrus Heights,California,"87,910",5.60%,63.90%,"$54,373.00",11.40%,26.7,13.20%,-0.161204742
Amarillo,Texas,"199,924",4.90%,67.20%,"$51,198.00",19.70%,17.7,16.40%,-0.16071093
Meriden,Connecticut,"59,540",-2.10%,64.10%,"$57,350.00",6.00%,22.8,10.80%,-0.159718514
Pittsburg,California,"72,437",14.50%,65.90%,"$66,739.00",11.20%,42.5,13.60%,-0.157867268
Ontario,California,"181,107",10.50%,66.70%,"$57,544.00",15.00%,30.9,16.20%,-0.157523253
San Rafael,California,"58,704",1.70%,66.10%,"$85,931.00",9.90%,28.6,14.50%,-0.154439985
Spokane,Washington,"219,190",4.60%,60.00%,"$44,768.00",9.30%,20.1,19.40%,-0.154100464
Concord,California,"129,688",6.20%,66.50%,"$76,500.00",11.20%,33.8,11.20%,-0.153659354
High Point,North Carolina,"112,316",7.50%,62.70%,"$44,642.00",14.80%,20.5,19.40%,-0.153513184
Lawrence,Massachusetts,"80,376",5.30%,66.30%,"$39,627.00",7.80%,23.4,24.20%,-0.151873613
Fountain Valley,California,"55,814",0.80%,61.00%,"$86,602.00",8.10%,28.5,8.70%,-0.151527077
Hanford,California,"56,910",4.70%,59.80%,"$55,327.00",9.00%,22.3,18.70%,-0.148137075
Kettering,Ohio,"55,103",-1.90%,64.70%,"$53,708.00",7.70%,20.2,11.90%,-0.147095001
Glendora,California,"52,002",3.50%,63.70%,"$86,442.00",8.30%,33.4,9.10%,-0.145832431
West Haven,Connecticut,"54,879",-1.20%,68.60%,"$55,299.00",8.50%,22.5,13.20%,-0.145342049
San Leandro,California,"89,703",5.60%,65.50%,"$66,178.00",9.00%,32.4,11.10%,-0.144546259
Pittsfield,Massachusetts,"42,533",-4.90%,65.00%,"$46,871.00",3.30%,17.6,15.10%,-0.141283596
Manchester,New Hampshire,"112,525",2.70%,69.00%,"$56,467.00",12.80%,23.3,14.90%,-0.140754564
Tacoma,Washington,"216,279",9.10%,62.70%,"$55,506.00",11.80%,28.1,17.00%,-0.139605761
Lakewood,California,"80,140",0.10%,64.80%,"$84,055.00",8.50%,29.4,7.00%,-0.13862817
Harrisonburg,Virginia,"54,033",10.50%,60.70%,"$43,009.00",17.30%,15.7,29.00%,-0.136969587
Watsonville,California,"53,920",5.30%,67.40%,"$51,548.00",13.60%,23.8,15.60%,-0.135469603
Lowell,Massachusetts,"111,670",4.80%,65.50%,"$48,581.00",5.80%,25.8,22.40%,-0.133838538
Corona,California,"168,819",10.70%,65.90%,"$73,594.00",12.80%,36.7,11.60%,-0.132277843
Santa Clarita,California,"210,089",2.90%,68.60%,"$90,544.00",9.40%,34.9,8.80%,-0.131585669
San Angelo,Texas,"100,215",7.50%,59.70%,"$47,044.00",19.40%,16.1,14.10%,-0.13136067
Lake Charles,Louisiana,"78,001",7.90%,62.90%,"$40,910.00",16.20%,16.7,22.90%,-0.130327762
Provo,Utah,"116,702",3.70%,69.30%,"$44,312.00",12.50%,17.8,25.40%,-0.127574713
Boynton Beach,Florida,"78,050",14.40%,63.00%,"$50,561.00",21.50%,25.1,16.70%,-0.126646162
Salina,Kansas,"46,716",-2.20%,66.40%,"$47,103.00",11.80%,14,13.80%,-0.124360669
Oakland,California,"429,082",9.80%,67.80%,"$63,251.00",12.20%,31.9,18.70%,-0.124200786
Jurupa Valley,California,"108,393",14.10%,63.40%,"$63,286.00",17.00%,31.7,16.00%,-0.123772332
Orange,California,"139,484",2.20%,65.40%,"$83,500.00",12.30%,25.7,12.50%,-0.119795097
Vista,California,"101,224",8.40%,65.00%,"$59,833.00",16.40%,24.7,15.40%,-0.116831407
Richmond,Virginia,"228,783",12.00%,65.00%,"$42,356.00",16.80%,21.9,25.20%,-0.116730652
Burien,Washington,"51,908",8.00%,67.90%,"$60,732.00",13.60%,28.9,15.20%,-0.11527594
New Orleans,Louisiana,"391,006",13.70%,61.40%,"$38,721.00",14.10%,23.8,25.40%,-0.113608361
Fort Wayne,Indiana,"267,633",5.50%,66.40%,"$45,853.00",13.30%,20.9,17.80%,-0.113019629
Quincy,Illinois,"40,042",-1.60%,62.60%,"$42,854.00",7.20%,14.5,16.50%,-0.112743293
Springfield,Oregon,"62,979",6.00%,65.60%,"$41,700.00",12.00%,20,21.30%,-0.111772325
Crystal Lake,Illinois,"40,036",-1.80%,71.60%,"$83,746.00",6.60%,31.9,6.80%,-0.111104818
Lodi,California,"66,995",7.80%,62.60%,"$52,244.00",12.00%,24.5,16.70%,-0.110974478
Tulare,California,"64,475",8.70%,60.20%,"$49,584.00",13.40%,20.4,21.10%,-0.110943639
Greenville,North Carolina,"93,137",9.90%,64.00%,"$36,496.00",12.30%,18.3,32.10%,-0.110771825
Quincy,Massachusetts,"94,580",2.50%,69.90%,"$71,808.00",4.00%,35.6,10.50%,-0.109204871
La Crosse,Wisconsin,"51,567",0.40%,67.00%,"$42,243.00",8.00%,15.1,25.20%,-0.108906637
Waterloo,Iowa,"67,798",-0.90%,66.00%,"$44,429.00",9.20%,15.5,17.00%,-0.106378291
White Plains,New York,"58,111",2.20%,69.20%,"$87,550.00",13.50%,27.4,11.90%,-0.106203929
Wheeling,Illinois,"38,878",3.30%,73.20%,"$62,478.00",16.20%,24.7,11.50%,-0.104242094
East Providence,Rhode Island,"47,476",0.90%,65.00%,"$54,707.00",7.50%,23.6,10.60%,-0.102644021
Davis,California,"69,289",5.60%,58.30%,"$63,071.00",4.60%,21.7,29.10%,-0.102257821
Bryan,Texas,"85,445",12.10%,64.50%,"$43,310.00",22.40%,16.5,23.60%,-0.099412382
Santa Rosa,California,"177,586",1.40%,65.60%,"$67,144.00",11.10%,22.6,11.80%,-0.098758261
San Buenaventura (Ventura),California,"327,167,434",6.00%,63.00%,"$57,652.00",10.20%,26.4,12.30%,-0.097467728
Taunton,Massachusetts,"57,296",2.50%,66.40%,"$56,797.00",2.90%,29.9,13.80%,-0.096943899
Orland Park,Illinois,"58,312",3.00%,62.90%,"$85,802.00",5.60%,35,4.30%,-0.095754882
Grand Prairie,Texas,"194,614",10.90%,70.90%,"$62,589.00",20.70%,28.6,12.80%,-0.094481667
Oshkosh,Wisconsin,"66,729",0.80%,62.60%,"$45,708.00",6.70%,17.1,18.80%,-0.094430051
Redlands,California,"71,586",4.20%,58.20%,"$68,956.00",8.60%,22.8,15.30%,-0.09440147
North Charleston,South Carolina,"113,237",16.10%,64.40%,"$39,944.00",20.90%,23.1,22.80%,-0.093549203
Pocatello,Idaho,"56,266",3.70%,62.70%,"$42,979.00",10.60%,16.3,20.20%,-0.093419405
Green Bay,Wisconsin,"104,879",0.90%,68.30%,"$45,473.00",9.70%,18.5,17.20%,-0.090658558
La Mesa,California,"59,556",4.50%,63.70%,"$59,629.00",10.50%,24.3,12.60%,-0.088523861
Portland,Maine,"66,417",0.30%,70.70%,"$51,430.00",10.20%,19.1,18.30%,-0.087803869
Turlock,California,"73,504",7.10%,62.30%,"$53,661.00",10.50%,24.2,16.40%,-0.085692705
Council Bluffs,Iowa,"62,421",0.30%,66.00%,"$49,750.00",9.30%,18.6,13.90%,-0.084838797
Burlington,Vermont,"42,899",1.10%,65.20%,"$47,140.00",4.60%,18.5,24.40%,-0.083889497
Jacksonville,Florida,"903,889",10.00%,63.90%,"$50,555.00",14.70%,24.6,16.40%,-0.083592062
Tracy,California,"91,812",10.10%,68.70%,"$84,162.00",8.20%,43.5,8.40%,-0.082642063
San Luis Obispo,California,"47,446",5.10%,60.80%,"$49,640.00",7.50%,15.2,32.40%,-0.082363255
Athens-Clarke County,Georgia,"111,128",3.60%,63.10%,"$72,859.00",10.60%,25.2,11.20%,-0.081940964
Plant City,Florida,"39,156",12.60%,65.10%,"$48,504.00",20.90%,23.6,14.00%,-0.080074882
Kissimmee,Florida,"73,597",23.50%,65.00%,"$38,353.00",24.10%,29.2,24.40%,-0.078386498
Rancho Palos Verdes,California,"41,928",0.60%,55.30%,"$124,552.00",4.00%,34.1,4.50%,-0.076036914
Cuyahoga Falls,Ohio,"49,272",-0.60%,67.60%,"$52,936.00",7.00%,22.4,10.40%,-0.075847025
Findlay,Ohio,"41,324",0.30%,64.60%,"$47,083.00",9.50%,15.7,16.00%,-0.074492355
Barnstable Town,Massachusetts,"44,460",-1.60%,62.90%,"$66,864.00",6.50%,21.4,9.10%,-0.07440824
Sunrise,Florida,"95,458",13.20%,65.40%,"$53,237.00",17.70%,28.4,13.70%,-0.072216528
Kansas City,Missouri,"491,918",7.00%,68.30%,"$50,136.00",15.10%,21.8,17.30%,-0.070323577
Kent,Washington,"129,618",9.30%,67.30%,"$64,573.00",11.30%,31.7,14.80%,-0.069965254
Sheboygan,Wisconsin,"48,180",-2.40%,67.80%,"$44,710.00",7.90%,16.6,12.30%,-0.069518978
Louisville/Jefferson County,Kentucky,"620,118",4.20%,65.30%,"$49,439.00",8.60%,22.4,16.70%,-0.069361114
Yuma,Arizona,"97,908",7.90%,57.50%,"$46,151.00",15.00%,15.7,16.90%,-0.06810349
Lakeland,Florida,"110,516",13.60%,54.00%,"$42,033.00",14.30%,21,17.90%,-0.067666802
Oak Park,Illinois,"52,265",0.70%,71.40%,"$87,271.00",5.30%,34.8,8.30%,-0.067245197
Lynchburg,Virginia,"82,126",8.70%,58.50%,"$41,971.00",11.70%,17.4,22.30%,-0.065729229
Owensboro,Kentucky,"59,809",4.10%,59.80%,"$40,146.00",8.10%,16,20.00%,-0.065628746
West Lafayette,Indiana,"48,308",15.00%,49.00%,"$31,230.00",5.70%,15.6,41.10%,-0.065498777
North Port,Florida,"68,628",19.70%,52.20%,"$54,687.00",17.30%,30.1,12.30%,-0.063872322
Arcadia,California,"58,610",4.10%,59.80%,"$90,666.00",6.90%,30.8,8.80%,-0.062425593
Middletown,Connecticut,"46,146",-3.20%,66.10%,"$63,914.00",4.30%,21.3,11.30%,-0.060807156
Sioux City,Iowa,"82,396",-0.40%,68.80%,"$48,559.00",10.30%,16.9,14.70%,-0.05981914
Concord,New Hampshire,"43,412",1.70%,64.00%,"$61,310.00",9.60%,21.7,10.20%,-0.059339435
Sacramento,California,"508,529",9.00%,63.20%,"$54,615.00",10.10%,25.4,19.80%,-0.058372026
Davenport,Iowa,"102,085",2.40%,63.10%,"$49,335.00",7.70%,18.7,17.10%,-0.057849734
Santa Cruz,California,"64,725",8.00%,61.00%,"$65,421.00",8.80%,23.5,24.40%,-0.056025939
Tallahassee,Florida,"193,551",6.80%,66.20%,"$42,418.00",10.40%,18.4,27.10%,-0.055918517
Cypress,California,"48,958",2.30%,63.50%,"$90,345.00",8.00%,30.6,5.80%,-0.055269044
Carol Stream,Illinois,"39,601",0.10%,72.70%,"$76,078.00",8.30%,29.4,8.50%,-0.055204951
Livonia,Michigan,"93,971",-3.00%,63.70%,"$74,882.00",4.50%,24.2,5.40%,-0.054684125
